"COD_ETU","Note : TLBC2104","Résultat : TLBC2104","Session : TLBC2104","Année : TLBC2104","Note : TLBC2204","Résultat : TLBC2204","Session : TLBC2204","Année : TLBC2204","Note : TLBC2304","Résultat : TLBC2304","Session : TLBC2304","Année : TLBC2304","Note : TLBC2404","Résultat : TLBC2404","Session : TLBC2404","Année : TLBC2404","Note : TLBC2504","Résultat : TLBC2504","Session : TLBC2504","Année : TLBC2504","Note : TLBC2604","Résultat : TLBC2604","Session : TLBC2604","Année : TLBC2604","Note : TLBC2004","Résultat : TLBC2004","Session : TLBC2004","Année : TLBC2004","Note : TLBC1104","Résultat : TLBC1104","Session : TLBC1104","Année : TLBC1104","Note : TLBC1204","Résultat : TLBC1204","Session : TLBC1204","Année : TLBC1204","Note : TLBC1304","Résultat : TLBC1304","Session : TLBC1304","Année : TLBC1304","Note : TLBC1404","Résultat : TLBC1404","Session : TLBC1404","Année : TLBC1404","Note : TLBC1504","Résultat : TLBC1504","Session : TLBC1504","Année : TLBC1504","Note : TLBC1604","Résultat : TLBC1604","Session : TLBC1604","Année : TLBC1604","Note : TLBC1004","Résultat : TLBC1004","Session : TLBC1004","Année : TLBC1004"
"17004850","10.6","V","1","2017","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","16","V","1","2017","6.1","NV","2","2020","14.3","V","1","2017","11.2","V","1","2017","15,725","V","1","2017","8,975","AC","2","2017","12.25","V","1","2017","16","V","1","2017","13,075","V","2","2017"
"17005196","10","V","2","2017","10","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10.5","V","1","2017","5,083","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","11.41","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","13","V","1","2017","4,068","NV","2","2020"
"17005294","10.7","V","1","2017","10","V","2","2017","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","10","V","1","2017","5,158","NV","2","2020","14.25","V","1","2017","10.55","V","1","2017","13.66","V","1","2017","7","AC","2","2017","10.6","V","1","2017","10.5","V","1","2017","11,093","V","2","2017"
"17005433","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","10","V","2","2017","1,708","NV","2","2020","10.1","V","1","2017","0","NRA","1","2020","10","V","2","2017","0","NRA","1","2020","10","V","2","2017","10","V","1","2017","6,683","NV","2","2020"
"17005485","10","V","2","2017","0","NRA","1","2020","10.55","V","1","2017","10.1","V","1","2018","0","NRA","1","2020","10","V","1","2017","6,775","NV","2","2020","10","V","2","2017","0","NRA","1","2020","11.66","V","1","2017","0","NRA","1","2020","10","V","2","2017","10.5","V","1","2017","7,027","NV","2","2020"
"17005491","10","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","14.5","V","1","2017","4,083","NV","2","2020","8.55","AC","2","2017","10","V","2","2017","13.25","V","1","2017","7","AC","2","2017","11.9","V","1","2017","15","V","1","2017","10.95","V","2","2017"
"17005624","0","NRA","1","2020","0","NRA","1","2020","13.5","V","1","2019","14","V","1","2019","16","V","1","2019","10","V","2","2017","8,917","NV","2","2020","10","V","2","2017","0","NRA","1","2020","0","NRA","1","2020","4.4","NV","2","2020","10","V","1","2018","10","V","1","2017","5,733","NV","2","2020"
"17005671","10","V","2","2017","11","V","1","2019","12","V","1","2019","10","V","2","2017","10","V","2","2019","12.5","V","1","2017","10,917","V","2","2019","10","V","2","2019","10","V","2","2020","10","V","2","2017","10","V","2","2019","12.5","V","1","2020","10","V","2","2017","10,417","V","2","2020"
"17005710","11.2","V","1","2018","12,208","V","1","2018","11.5","V","1","2019","12.1","V","1","2018","11.1","V","1","2018","10","V","2","2020","11,351","V","2","2020","8.3","AC","2","2019","10","V","2","2019","10","V","2","2018","15.55","V","1","2019","10","V","2","2017","10","V","2","2019","10,642","V","2","2019"
"17005722","10.4","V","1","2017","10","V","2","2017","10","V","1","2019","10","V","2","2019","2","NV","2","2020","10","V","2","2017","8,733","NV","2","2020","10","V","2","2017","10","V","2","2017","12.23","V","1","2017","7","AC","2","2017","10","V","2","2017","11.5","V","1","2017","10,122","V","2","2017"
"17005766","11.6","V","1","2017","7.5","AC","2","2017","10","V","2","2017","10","V","2","2017","7","AC","2","2017","14","V","1","2017","10,017","V","2","2017","10","V","2","2017","0","NRA","1","2020","11.9","V","1","2017",".39","NV","2","2020","10","V","2","2017","14","V","1","2017","7,715","NV","2","2020"
"17005882","10","V","2","2017","14","V","1","2019","10","V","1","2019","11","V","1","2018","2.5","NV","2","2020","5","NV","2","2020","8.75","NV","2","2020","7","NV","2","2020","2.63","NV","2","2020","10","V","2","2018","5,395","NV","2","2020","10","V","2","2018","0","NRA","1","2020","5,838","NV","2","2020"
"17005897","10.6","V","1","2017","10","V","2","2018","10","V","2","2019","10","V","1","2019","12","V","1","2019","12.25","V","1","2018","10,808","V","2","2019","10","V","2","2018","10","V","2","2018","10.5","V","1","2017","9.2","NV","2","2020","7","NV","2","2020","10","V","1","2017","9.45","NV","2","2020"
"17005948","10.9","V","1","2018","10","V","2","2018","10","V","2","2018","10","V","2","2019","18","V","1","2019","10","V","2","2017","11,483","V","2","2019","10","V","2","2018","10","V","2","2018","10","V","2","2017","4,875","NV","2","2020","10","V","2","2017","10","V","2","2017","9,146","NV","2","2020"
"17006031","10","V","1","2019","16.5","V","1","2019","13.5","V","1","2019","16","V","1","2019","18","V","1","2019","14","V","1","2019","14,667","V","1","2019","11.55","V","1","2018","12.5","V","1","2020","10.96","V","1","2017","7","AC","2","2020","10","V","1","2018","11","V","1","2020","10,502","V","2","2020"
"17006036","10","V","2","2019","10","V","1","2019","10","V","2","2019","10","V","1","2019","12","V","1","2019","10","V","2","2019","10,333","V","2","2019","7.6","AC","2","2020","10","V","2","2019","10","V","2","2020","12,475","V","1","2019","10","V","2","2018","10","V","2","2017","10,013","V","2","2020"
"17006084","10.4","V","1","2017","10","V","2","2017","10","V","2","2017",".25","NV","2","2020","10.3","V","1","2018","0","NRA","1","2020","6,825","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","11.19","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","1,865","NV","2","2020"
"17006104","11.1","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","10.25","V","1","2018","0","NRA","1","2020","12.25","V","1","2018","5.6","NV","2","2020","10","V","2","2018","0","NRA","1","2020","10.8","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","12.5","V","1","2017","5.55","NV","2","2020"
"17008735","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","10","V","1","2019","0","NRA","1","2020","10","V","1","2018","5","NV","2","2020","10","V","2","2018","10","V","2","2018","12.5","V","1","2018","0","NRA","1","2020","10","V","2","2018","10","V","1","2018","8.75","NV","2","2020"
"17009909","10","V","2","2018","10","V","2","2018","13","V","1","2019","10.15","V","1","2018","7","AC","2","2019","10.25","V","1","2018","10,067","V","2","2019","10","V","2","2020","10","V","2","2020","11,048","V","1","2018","5,655","NV","2","2020","3","NV","2","2020","13","V","1","2018","8,784","NV","2","2020"
"17011785","10","V","2","2017","0","NRA","1","2020","10.05","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","11.5","V","1","2017","5,258","NV","2","2020","10","V","2","2018","0","NRA","1","2020","12,224","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","13.5","V","1","2017","5,954","NV","2","2020"
"18001839","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020",".042","NV","2","2020","11.55","V","1","2018","15.45","V","1","2018","10.05","V","1","2018","10","V","2","2018","0","NRA","1","2020","10.75","V","1","2018","9,633","NV","2","2020"
"18002372","12.9","V","1","2018","10","V","2","2018","10.25","V","1","2018","11.05","V","1","2018","17","V","1","2019","11.5","V","1","2018","12,117","V","1","2019","10","V","1","2018","10","V","2","2018","15,735","V","1","2018","6.5","NV","2","2020","2","NV","2","2020","11.5","V","1","2018","9,289","NV","2","2020"
"18002395","10.2","V","1","2018","10","V","2","2018","10.5","V","1","2019","12","V","1","2019","10","V","1","2019","10","V","2","2018","10.45","V","1","2019","10.5","V","1","2020","10.05","V","1","2019","10","V","2","2018","8,938","NV","2","2020","6","NV","2","2020","10","V","1","2018","9,248","NV","2","2020"
"18002567","11.5","V","1","2018","12,656","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","11.1","V","1","2018","0","NRA","1","2020","5,876","NV","2","2020","10.02","V","1","2019","10","V","2","2018","14.3","V","1","2019","13.15","V","1","2019","12.2","V","1","2018","10","V","1","2018","11,612","V","1","2019"
"18002578","10","V","2","2018","16","V","1","2019","16.5","V","1","2019","14","V","1","2019","16","V","1","2019","13.75","V","1","2018","14,375","V","1","2019","12.15","V","1","2018","10","V","2","2020","10.35","V","1","2018","7","AC","2","2020","7","AC","2","2020","15,625","V","1","2018","10,354","V","2","2020"
"18002597","0","NRA","1","2020","10","V","2","2018","10","V","2","2018",".25","NV","2","2020","0","NRA","1","2020","12","V","1","2018","5,375","NV","2","2020","0","NRA","1","2020","10","V","2","2018","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","10.75","V","1","2018","5,125","NV","2","2020"
"18002608","12.5","V","1","2019","16.5","V","1","2019","12.5","V","1","2019","12","V","1","2019","10","V","1","2019","11.5","V","1","2018","12.5","V","1","2019","11.2","V","1","2018","10.15","V","1","2018","10","V","2","2018","7,475","AC","2","2020","10","V","2","2018","11.75","V","1","2018","10,096","V","2","2020"
"18002615","10","V","2","2018","10","V","2","2018","10","V","2","2019","12","V","1","2019","18","V","1","2019","12","V","1","2019","12","V","2","2019","10","V","2","2018","14.31","V","1","2020","11,082","V","1","2018","10","V","2","2018","12","V","1","2018","10","V","1","2020","11,232","V","1","2020"
"18002644","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2019","0","NRA","1","2020","13","V","1","2019","3,833","NV","2","2020","10.55","V","1","2019","10.55","V","1","2019","13.95","V","1","2018","13,925","V","1","2019","0","NRA","1","2020","10,375","V","1","2018","9,892","NV","2","2020"
"18002730","11.5","V","1","2018","10","V","2","2018","10","V","2","2018","10","V","2","2018","14","V","1","2019","10","V","1","2018","10,917","V","1","2019","10","V","1","2018","10","V","2","2019","10,134","V","1","2018","10","V","2","2019","10","V","2","2020","10","V","2","2018","10,022","V","2","2020"
"18002832","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","16","V","1","2019","2,667","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2019","1,667","NV","2","2020"
"18002912","11.6","V","1","2018","0","NRA","1","2020","10.9","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","12","V","1","2018","5.75","NV","2","2020","12.15","V","1","2018","0","NRA","1","2020","12,728","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","12.5","V","1","2018","6.23","NV","2","2020"
"18002920","10","V","2","2018","11,256","V","1","2018","10.25","V","1","2018",".25","NV","2","2020","10","V","2","2018","13","V","1","2018","9,126","NV","2","2020","10","V","2","2018","0","NRA","1","2020","13,464","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","15","V","1","2018","6,411","NV","2","2020"
"18003182","10","V","2","2018","0","NRA","1","2020","10.05","V","1","2018",".25","NV","2","2020","0","NRA","1","2020","14","V","1","2018","5,717","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","16.5","V","1","2018","4,417","NV","2","2020"
"18003766","11.2","V","1","2018","16","V","1","2019","8","AC","2","2019","10","V","2","2019","12","V","1","2019","13","V","1","2019","11.7","V","2","2019","10","V","1","2019","10.25","V","1","2018","10","V","2","2018","11,925","V","1","2019","10","V","2","2020","10","V","2","2018","10,363","V","2","2020"
"18003778","11.6","V","1","2018","10","V","2","2018","0","NRA","1","2020",".25","NV","2","2020","5","NV","2","2020","13","V","1","2018","6,642","NV","2","2020","10.6","V","1","2018","5.5","NV","2","2020","10,925","V","1","2018","2,925","NV","2","2020","10","V","2","2018","11,375","V","1","2018","8,554","NV","2","2020"
"18003807","11.3","V","1","2018","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2018","5,217","NV","2","2020","10.02","V","1","2019","10","V","2","2018","11.3","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2018","6,887","NV","2","2020"
"18003813","12.5","V","1","2019","18","V","1","2019","10","V","1","2019","14","V","1","2019","18","V","1","2019","11.5","V","1","2019","14","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2019","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2019","3,333","NV","2","2020"
"18003871","17","V","1","2019","12","V","1","2019","10","V","1","2019","12","V","1","2019","14","V","1","2019","13","V","1","2019","13","V","1","2019","11.9","V","1","2019","10.4","V","1","2019","13,275","V","1","2019","4,225","NV","2","2020","0","NRA","1","2020","13.5","V","1","2019","8,883","NV","2","2020"
"18003944","16","V","1","2019","16","V","1","2019","10","V","2","2019","14","V","1","2019","16","V","1","2019","16","V","1","2019","14,667","V","2","2019","10","V","1","2020","11.41","V","1","2020","13,225","V","1","2019","12,363","V","1","2019","7.5","AC","2","2020","14","V","1","2019","11,416","V","2","2020"
"18004107","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10.5","V","1","2018","1.75","NV","2","2020","10","V","2","2019","0","NRA","1","2020","12.1","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2018","5.35","NV","2","2020"
"18004126","16","V","1","2020","8","AC","2","2020","10","V","2","2019","10.2","V","1","2018","14","V","1","2019","10","V","1","2019","11,367","V","2","2020","10","V","2","2019","10","V","2","2020","10","V","2","2019","3,591","NV","2","2020","4.5","NV","2","2020","10","V","2","2019","8,015","NV","2","2020"
"18004211","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020",".042","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"18004249","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2019","0","NRA","1","2020","0","NRA","1","2020","1,667","NV","2","2020","5.5","NV","2","2020",".5","NV","2","2020","10","V","2","2018","2,438","NV","2","2020","10","V","2","2018","10,625","V","1","2018","6,511","NV","2","2020"
"18004267","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","13.5","V","1","2018","2.25","NV","2","2020","10","V","2","2018","13.3","V","1","2018","10","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","15.25","V","1","2018","8,092","NV","2","2020"
"18004324","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","12","V","1","2018","2,042","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","10.3","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2018","3,383","NV","2","2020"
"18004340","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","13.1","V","1","2018","11.25","V","1","2018","5,725","NV","2","2020","0","NRA","1","2020","12.1","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","12.8","V","1","2018","10","V","2","2018","5,817","NV","2","2020"
"18004544","10.8","V","1","2018","10","V","2","2018","10","V","2","2018","13","V","1","2020","10","V","2","2018","10","V","2","2018","10,633","V","1","2020","10.05","V","1","2018","10.3","V","1","2018","10.1","V","1","2018","13,338","V","1","2019","10","V","2","2019","7","AC","2","2020","10,131","V","2","2020"
"18004610","12.3","V","1","2018","10","V","1","2019","7","AC","2","2019","14","V","1","2019","14","V","1","2019","11.25","V","1","2018","11,425","V","2","2019","12.85","V","1","2018","10","V","2","2018","10.2","V","1","2018","11,475","V","1","2020","7","AC","2","2020","10","V","1","2018","10,254","V","2","2020"
"18004637","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","12","V","1","2018","2,042","NV","2","2020","10","V","2","2018","10","V","1","2018","10.05","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","12.75","V","1","2018","7,133","NV","2","2020"
"18004707","11.3","V","1","2018","16","V","1","2019","10.2","V","1","2018","14","V","1","2019","20","V","1","2019","10.5","V","1","2018","13,667","V","1","2019","10.2","V","1","2018","10","V","2","2018","12,179","V","1","2018",".325","NV","2","2020","4","NV","2","2020","10,875","V","1","2018","7.93","NV","2","2020"
"18004739","10.1","V","1","2018","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","3.35","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","1,667","NV","2","2020"
"18004745","17.5","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","4,583","NV","2","2020","10,032","V","1","2018","10","V","2","2018","10.3","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","6,722","NV","2","2020"
"18004924","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","11.25","V","1","2018","1,875","NV","2","2020","10","V","2","2018","11,675","V","1","2018","12,703","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2018","7,396","NV","2","2020"
"18004934","10","V","2","2018","12","V","1","2019","10","V","2","2019","14","V","1","2019","16","V","1","2019","11.5","V","1","2018","12.25","V","2","2019","7.33","NV","2","2020","2","NV","2","2020","10","V","1","2018","5,525","NV","2","2020","4","NV","2","2020","12.5","V","1","2018","6,893","NV","2","2020"
"18004947","10","V","1","2018","11","V","1","2019","10.25","V","1","2018","10","V","1","2019","15","V","1","2019","10","V","1","2018","11,042","V","1","2019","10","V","2","2018","10","V","2","2019","10","V","2","2018","8","AC","2","2020","10","V","2","2020","12,375","V","1","2018","10,063","V","2","2020"
"18004963","10","V","2","2018","10","V","2","2018","2.45","NV","2","2020","10","V","2","2019","10","V","1","2018","10","V","1","2018","8,742","NV","2","2020","10","V","2","2018","10.2","V","1","2018","10","V","1","2018","10,138","V","1","2019","11.8","V","1","2018","10","V","1","2018","10,356","V","1","2019"
"18005062","0","NRA","1","2020","0","NRA","1","2020","15","V","1","2019","10.2","V","1","2018","10","V","1","2019","0","NRA","1","2020","5,867","NV","2","2020","6.25","NV","2","2020",".5","NV","2","2020","10","V","2","2018","3,738","NV","2","2020","5.5","NV","2","2020","10","V","2","2018","5,998","NV","2","2020"
"18005091","10.4","V","1","2018","16.5","V","1","2019","10","V","2","2019","12","V","1","2019","16","V","1","2019","10","V","2","2018","12,483","V","2","2019","10","V","2","2019","10","V","1","2020","10,025","V","1","2019","6,013","NV","2","2020","10","V","2","2020","10","V","2","2018","9.34","NV","2","2020"
"18005217","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","12.25","V","1","2018","10.25","V","1","2018","15.65","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","14,375","V","1","2018","8,754","NV","2","2020"
"18005639","10","V","2","2019","12","V","1","2019","13.5","V","1","2019","12","V","1","2019","14","V","1","2019","12","V","1","2019","12.25","V","2","2019","10","V","1","2019","10","V","2","2020","10.8","V","1","2019","7,638","NV","2","2020","8.5","NV","2","2020","12","V","1","2019","9,823","NV","2","2020"
"18005891","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","12.75","V","1","2018","3,833","NV","2","2020","10","V","2","2018","10","V","2","2018","14.2","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","10.75","V","1","2018","7,492","NV","2","2020"
"18006087","10.3","V","1","2018","10","V","2","2018","10","V","1","2019","14","V","1","2019","14","V","1","2019","10.75","V","1","2018","11,508","V","1","2019","10","V","2","2018","10.9","V","1","2018","12.4","V","1","2018","10.85","V","1","2019","7","AC","2","2020","10.5","V","1","2018","10,275","V","2","2020"
"18007507","10.5","V","1","2018","10","V","2","2018","10","V","2","2019","11","V","1","2018","20","V","1","2019","10","V","1","2018","11,917","V","2","2019","5.33","NV","2","2020","7.5","NV","2","2020","10","V","2","2018","8,666","NV","2","2020","10","V","2","2019","12.5","V","1","2018","8,999","NV","2","2020"
"18007917","12","V","1","2018","10","V","2","2018","10","V","2","2019","10","V","2","2018","12","V","1","2019","10","V","2","2018","10,667","V","2","2019","10","V","2","2018","10","V","2","2020","12.5","V","1","2018","4,631","NV","2","2020","5","NV","2","2020","13.5","V","1","2018","9,272","NV","2","2020"
"18007934","10","V","1","2020","10","V","1","2019","8","AC","2","2020","10","V","1","2019","13","V","1","2019","14","V","1","2019","10,833","V","2","2020","10","V","2","2019","4","NV","2","2020","10.1","V","1","2019","2,389","NV","2","2020","6.5","NV","2","2020","10.5","V","1","2020","7,248","NV","2","2020"
"18008165","11","V","1","2019","11","V","1","2019","10","V","1","2019","14","V","1","2019","16","V","1","2019","16","V","1","2019","13","V","1","2019","10","V","2","2019","10","V","2","2020","11.4","V","1","2019","3,965","NV","2","2020","7","NV","2","2020","12","V","1","2019","9,061","NV","2","2020"
"18009001","10","V","2","2019","16","V","1","2019","12","V","1","2019","10","V","1","2019","12","V","1","2019","14","V","1","2019","12,333","V","2","2019","7.66","NV","2","2020","10","V","2","2018","10.2","V","1","2018","5,725","NV","2","2020","10","V","2","2020","10","V","2","2018","8,931","NV","2","2020"
"18009063","10","V","2","2018","10","V","2","2018","5.5","NV","2","2020","10","V","1","2019","10","V","1","2019","10","V","2","2018","9.25","NV","2","2020","7.25","NV","2","2020","10","V","2","2018","10","V","2","2018","10,013","V","1","2019","10","V","2","2019","10","V","2","2018","9,544","NV","2","2020"
"18009112","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".25","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020",".042","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
